id,mode,corpus,note
437o,photo,0506.txt,neighbour
186o,photo,0259.txt,neighbour
990o,photo,0944.txt,neighbour
687o,photo,0904.txt,neighbour
814o,photo,1462.txt,neighbour
458o,photo,0677.txt,neighbour
862o,photo,0912.txt,neighbour
148o,photo,0209.txt,neighbour
1058o,photo,1558.txt,neighbour
939o,photo,0930.txt,neighbour
362o,photo,0595.txt,neighbour
947o,photo,1089.txt,neighbour
304o,photo,0359.txt,neighbour
195o,photo,0269.txt,neighbour
598o,photo,0854.txt,neighbour
287o,photo,0342.txt,neighbour
1100o,photo,1098.txt,neighbour
395o,photo,0546.txt,neighbour
1148o,photo,1345.txt,neighbour
1030o,photo,1698.txt,neighbour
377o,photo,0591.txt,neighbour
639o,photo,1753.txt,neighbour
406o,photo,0557.txt,neighbour
686o,photo,0901.txt,neighbour
594o,photo,0896.txt,neighbour
99o,photo,0139.txt,neighbour
532o,photo,0799.txt,neighbour
305o,photo,0358.txt,neighbour
275o,photo,0442.txt,neighbour
584o,photo,0834.txt,neighbour
1097o,photo,1577.txt,neighbour
1202o,photo,1242.txt,neighbour
531o,photo,0797.txt,neighbour
846o,photo,1352.txt,neighbour
1032o,photo,1085.txt,neighbour
1149o,photo,1355.txt,neighbour
834o,photo,1020.txt,neighbour
787o,photo,1621.txt,neighbour
115o,photo,0166.txt,neighbour
631o,photo,1620.txt,neighbour
635o,photo,1689.txt,neighbour
8o,photo,0077.txt,neighbour
486o,photo,0709.txt,neighbour
844o,photo,1376.txt,neighbour
361o,photo,0631.txt,neighbour
220o,photo,0458.txt,neighbour
855o,photo,1171.txt,neighbour
605o,photo,0858.txt,neighbour
652o,photo,1382.txt,neighbour
1087o,photo,1008.txt,neighbour
998o,photo,0952.txt,neighbour
937o,photo,1684.txt,neighbour
717o,photo,1593.txt,neighbour
188o,photo,0261.txt,neighbour
176o,photo,0246.txt,neighbour
249o,photo,0499.txt,neighbour
306o,photo,0357.txt,neighbour
637o,photo,1748.txt,neighbour
10o,photo,0050.txt,neighbour
379o,photo,0578.txt,neighbour
244o,photo,0283.txt,neighbour
152o,photo,0216.txt,neighbour
505o,photo,0737.txt,neighbour
909o,photo,1156.txt,neighbour
922o,photo,1396.txt,neighbour
735o,photo,1374.txt,neighbour
784o,photo,1679.txt,neighbour
978o,photo,1014.txt,neighbour
570o,photo,0788.txt,neighbour
861o,photo,1407.txt,neighbour
802o,photo,,not-in-archive
125o,photo,0181.txt,neighbour
495o,photo,0751.txt,neighbour
633o,photo,1645.txt,neighbour
187o,photo,0260.txt,neighbour
481o,photo,0752.txt,neighbour
447o,photo,0696.txt,neighbour
971o,photo,1059.txt,neighbour
450o,photo,0684.txt,neighbour
953o,photo,1431.txt,neighbour
970o,photo,1062.txt,neighbour
543o,photo,0815.txt,neighbour
863o,photo,0903.txt,neighbour
512o,photo,0704.txt,neighbour
589o,photo,0860.txt,neighbour
76o,photo,0102.txt,neighbour
460o,photo,0695.txt,neighbour
502o,photo,0749.txt,neighbour
662o,photo,1262.txt,neighbour
260o,photo,0388.txt,neighbour
935o,photo,0905.txt,neighbour
535o,photo,0813.txt,neighbour
6o,photo,0074.txt,neighbour
772o,photo,1868.txt,neighbour
173o,photo,0242.txt,neighbour
13o,photo,0039.txt,neighbour
992o,photo,0939.txt,neighbour
809o,photo,1479.txt,neighbour
190o,photo,0264.txt,neighbour
129o,photo,0190.txt,neighbour
791o,photo,1557.txt,neighbour
111o,photo,0159.txt,neighbour
942o,photo,0967.txt,neighbour
1168o,photo,1756.txt,neighbour
1161o,photo,1541.txt,neighbour
1110o,photo,0940.txt,neighbour
593o,photo,0888.txt,neighbour
272o,photo,0441.txt,neighbour
786o,photo,1643.txt,neighbour
1028o,photo,1411.txt,neighbour
263o,photo,0439.txt,neighbour
525o,photo,0773.txt,neighbour
197o,photo,0271.txt,neighbour
182o,photo,0255.txt,neighbour
112o,photo,0161.txt,neighbour
785o,photo,1659.txt,neighbour
398o,photo,0515.txt,neighbour
933o,photo,1771.txt,neighbour
955o,photo,1418.txt,neighbour
677o,photo,1839.txt,neighbour
700o,photo,1196.txt,neighbour
83o,photo,0116.txt,neighbour
929o,photo,1603.txt,neighbour
89o,photo,0126.txt,neighbour
766o,photo,1761.txt,neighbour
716o,photo,1587.txt,neighbour
748o,photo,1285.txt,neighbour
396o,photo,0537.txt,neighbour
468o,photo,0699.txt,neighbour
1026o,photo,1263.txt,neighbour
507o,photo,0753.txt,neighbour
84o,photo,0115.txt,neighbour
993o,photo,0916.txt,neighbour
421o,photo,0539.txt,neighbour
1054o,photo,1405.txt,neighbour
266o,photo,0445.txt,neighbour
234o,photo,0418.txt,neighbour
294o,photo,0335.txt,neighbour
813o,photo,1463.txt,neighbour
321o,photo,0311.txt,neighbour
318o,photo,0293.txt,neighbour
806o,photo,1503.txt,neighbour
954o,photo,1419.txt,neighbour
1080o,photo,1442.txt,neighbour
736o,photo,1373.txt,neighbour
682o,photo,1254a.txt,neighbour
383o,photo,0593.txt,neighbour
655o,photo,1653.txt,neighbour
448o,photo,0693.txt,neighbour
856o,photo,1162.txt,neighbour
817o,photo,1555.txt,neighbour
826o,photo,1223.txt,neighbour
805o,photo,1511.txt,neighbour
1006o,photo,1256.txt,neighbour
1101o,photo,1310.txt,neighbour
233o,photo,0451.txt,neighbour
989o,photo,0934.txt,neighbour
1137o,photo,1049.txt,neighbour
695o,photo,1128.txt,neighbour
488o,photo,0721.txt,neighbour
1154o,photo,1440A.txt,neighbour
959o,photo,1135.txt,neighbour
380o,photo,0577.txt,neighbour
963o,photo,1108.txt,neighbour
754o,photo,1190.txt,neighbour
708o,photo,1454.txt,neighbour
14o,photo,0040.txt,neighbour
522o,photo,0764.txt,neighbour
449o,photo,0690.txt,neighbour
741o,photo,1349.txt,neighbour
757o,photo,1895.txt,neighbour
1105o,photo,1243.txt,neighbour
185o,photo,0256B.txt,neighbour
832o,photo,1066.txt,neighbour
1172o,photo,1907.txt,neighbour
604o,photo,0889.txt,neighbour
1077o,photo,1493.txt,neighbour
191o,photo,0265.txt,neighbour
66o,photo,0085.txt,neighbour
496o,photo,0743.txt,neighbour
215o,photo,0493.txt,neighbour
943o,photo,0997.txt,neighbour
548o,photo,0816.txt,neighbour
323o,photo,0325.txt,neighbour
