cluster_id,same,keep,drop,min_hamming,max_hamming,members,archief,date
c117,1,117o.png,118o.png|119o.png|120o.png,6,35,117o.png|118o.png|119o.png|120o.png,"Spermalie Brugge",1275-12-10
c239,1,239o.png,240o.png,6,6,239o.png|240o.png,"Groot Seminarie Brugge",1281-08-16
c1143,1,1143o.png,1144o.png,13,13,1143o.png|1144o.png,"Groot Seminarie Brugge",1293-09-07
c275,1,275o.png,276o.png|277o.png,13,31,275o.png|276o.png|277o.png,"SA Gent",1282-10-17
c73,1,73o.png,74o.png|75o.png,14,18,73o.png|74o.png|75o.png,"Sint-Janshospitaal Brugge",1271-01-23
c1370,1,1370o.png,1372o.png,16,16,1370o.png|1372o.png,"Gemeentearchief Rotterdam",1297-07-09
c554,1,554o.png,555o.png|556o.png,25,37,554o.png|555o.png|556o.png,"RA Gent",1288-06-23
