cluster_id,same,keep,drop,drop_map,members,archief,fonds,signatuur,date,extra_info,unsigned
m866,0,866o.png|867o.png,,,866o.png|867o.png,"SA Brugge","","1306/177 | 1306/176",1300-06-24,"",0
m890,0,890o.png|891o.png,,,890o.png|891o.png,"AB Mechelen","Beggaarden","—",1291-05-16,"",1
m898,0,898o.png|899o.png,,,898o.png|899o.png,"AB Mechelen","Blijdenberg","—",1291-04-08,"",1
m905,0,905o.png|906o.png,,,905o.png|906o.png,"Potterie Brugge","","—",1292-03-01,"",1
m907,0,907o.png|908o.png,,,907o.png|908o.png,"Potterie Brugge","","—",1292-03-xx,"",1
m917,0,917o.png|918o.png,,,917o.png|918o.png,"Potterie Brugge","","—",1294-01-16,"",1
m919,0,919o.png|920o.png,,,919o.png|920o.png,"Potterie Brugge","","—",1294-02-12,"",1
m927,0,927o.png|928o.png,,,927o.png|928o.png,"Potterie Brugge","","—",1297-04-15,"",1
m952,0,952o.png|953o.png,,,952o.png|953o.png,"Sint-Janshospitaal Brugge","","—",1295-06-08,"",1
m979,0,979o.png|980o.png,,,979o.png|980o.png,"Sint-Janshospitaal Brugge","","—",1291-03-24,"",1
m990,0,990o.png|991o.png,,,990o.png|991o.png,"Sint-Janshospitaal Brugge","","—",1290-07-02,"",1
m999,0,999o.png|1000o.png,,,999o.png|1000o.png,"C.O.O. Brugge","Magdalenahospitaal","—",1290-06-01,"",1
m1022,0,1022o.png|1023o.png,,,1022o.png|1023o.png,"RA Gent","Rijke Klaren","—",1291-03-13,"",1
m1039,0,1039o.png|1040o.png,,,1039o.png|1040o.png,"RA Gent","Rijke Gasthuis","—",1293-05-02,"",1
m1178,0,1178o.png|1179o.png,,,1178o.png|1179o.png,"Rijksarchief Maastricht","Predikheren","—",1294-04-06,"",1
m1180,0,1180o.png|1181o.png,,,1180o.png|1181o.png,"Rijksarchief Maastricht","Predikheren","—",1294-04-04,"",1
m1183,1,1183o.png,1184o.png,1184o.png=1183o.png,1183o.png|1184o.png,"Schoonhoven","","—",1290-06-12,"",1
m1192,1,1193o.png,1192o.png,1192o.png=1193o.png,1192o.png|1193o.png,"Zieriksee","","—",1297-03-02,"",1
m1196,1,1196o.png,1197o.png,1197o.png=1196o.png,1196o.png|1197o.png,"Zieriksee","","—",1300-05-05,"",1
m1217,0,1217o.png|1218o.png,,,1217o.png|1218o.png,"Algemeen Rijksarchief Den Haag","Grafelijkheid","—",1292-02-06,"",1
m1228,1,1229o.png,1228o.png,1228o.png=1229o.png,1228o.png|1229o.png,"Algemeen Rijksarchief Den Haag","Zeeland","—",1291-03-05,"",1
m1249,0,1249o.png|1250o.png,,,1249o.png|1250o.png,"Algemeen Rijksarchief Den Haag","Grafelijkheid","—",1293-05-07,"",1
m1256,0,1256o.png|1257o.png,,,1256o.png|1257o.png,"Algemeen Rijksarchief Den Haag","Leeuwenhorst","—",1297-07-18,"",1
m1275,0,1275o.png|1276o.png,,,1275o.png|1276o.png,"Algemeen Rijksarchief Den Haag","Rijnsburg","—",1299-07-26,"",1
m1279,0,1279o.png|1280o.png,,,1279o.png|1280o.png,"Algemeen Rijksarchief Den Haag","Nassause Domeinraad II","1306 | 5",1299-06-16,"",0
m1299,0,1299o.png|1300o.png,,,1299o.png|1300o.png,"Algemeen Rijksarchief Den Haag","Henegouwen","—",1300-01-06,"",1
m1301,0,1301o.png|1302o.png,,,1301o.png|1302o.png,"Algemeen Rijksarchief Den Haag","Grafelijkheid","—",1299-12-23,"",1
m1311,0,1311o.png|1312o.png,,,1311o.png|1312o.png,"Algemeen Rijksarchief Den Haag","Grafelijkheid","—",1299-10-17,"",1
m1341,0,1341o.png|1342o.png,,,1341o.png|1342o.png,"Algemeen Rijksarchief Den Haag","Heusden","—",1290-05-31,"",1
m1351,0,1351o.png|1352o.png|1353o.png,,,1351o.png|1352o.png|1353o.png,"COO Brussel","Armen Sint-Goedele","—",1298-01-26,"",1
