volgnummer,filename,side,main_document,reason,series_first,released_path,original_path,folder,exif_orientation,exif_name,rotation_applied,width,height,archief,fonds,signatuur,jaar,maand,dag,extra_info,inverted,grayscale
43,43m.jpg,verso,0,verso,,images/pages-verso/43m.png,images/archive-original/1240-1260/43m.jpg,1240-1260,3,180,1,1656,2339,keure van Middelburg,,,1254,xx,xx,,0,0
43,43o.jpg,recto,0,neardup_of=35o,,images/pages-recto/43o.png,images/archive-original/1240-1260/43o.jpg,1240-1260,3,180,1,1656,2339,keure van Middelburg,,,1254,xx,xx,,0,0
44,44m.jpg,verso,0,verso,,images/pages-verso/44m.png,images/archive-original/1240-1260/44m.jpg,1240-1260,3,180,1,1656,2339,keure van Middelburg,,,1254,xx,xx,,0,0
44,44o.jpg,recto,0,neardup_of=35o,,images/pages-recto/44o.png,images/archive-original/1240-1260/44o.jpg,1240-1260,6,90-cw,1,2339,1656,keure van Middelburg,,,1254,xx,xx,,0,0
10,10m.jpg,verso,0,verso,,images/pages-verso/10m.png,images/archive-original/1260-1269/10m.jpg,1260-1269,6,90-cw,1,2024,1436,Groot Seminarie Brugge,Ter Duinen,,1267,07,16,,0,0
10,10o.jpg,recto,1,recto,,images/pages-recto/10o.png,images/archive-original/1260-1269/10o.jpg,1260-1269,6,90-cw,1,2024,1436,Groot Seminarie Brugge,Ter Duinen,,1267,07,16,,0,0
11,11m.jpg,verso,0,verso,,images/pages-verso/11m.png,images/archive-original/1260-1269/11m.jpg,1260-1269,6,90-cw,1,2024,1436,C.O.O. Brugge,Magdalenahospitaal,,1267,10,08,,0,0
11,11o.jpg,recto,1,recto,,images/pages-recto/11o.png,images/archive-original/1260-1269/11o.jpg,1260-1269,6,90-cw,1,2024,1436,C.O.O. Brugge,Magdalenahospitaal,,1267,10,08,,0,0
12,12m.jpg,verso,0,verso,,images/pages-verso/12m.png,images/archive-original/1260-1269/12m.jpg,1260-1269,6,90-cw,1,1654,1168,RA Gent,Sint-Elizabeth,,1267,05,xx,,0,0
12,12o.jpg,recto,1,recto,,images/pages-recto/12o.png,images/archive-original/1260-1269/12o.jpg,1260-1269,6,90-cw,1,1654,1168,RA Gent,Sint-Elizabeth,,1267,05,xx,,0,0
13,13m.jpg,verso,0,verso,,images/pages-verso/13m.png,images/archive-original/1260-1269/13m.jpg,1260-1269,6,90-cw,1,2024,1436,Groot Seminarie Brugge,Eekhout,,1267,02,05,,0,0
13,13o.jpg,recto,1,recto,,images/pages-recto/13o.png,images/archive-original/1260-1269/13o.jpg,1260-1269,6,90-cw,1,2024,1436,Groot Seminarie Brugge,Eekhout,,1267,02,05,,0,0
