cluster_id,n,unsigned,members,keep_if_same,drop_if_same,archief,fonds,signatuur,date,extra_info
m990,2,1,990o.png|991o.png,990o.png,991o.png,Sint-Janshospitaal Brugge,,—,1290-07-02,
m999,2,1,999o.png|1000o.png,999o.png,1000o.png,C.O.O. Brugge,Magdalenahospitaal,—,1290-06-01,
m1022,2,1,1022o.png|1023o.png,1022o.png,1023o.png,RA Gent,Rijke Klaren,—,1291-03-13,
m1039,2,1,1039o.png|1040o.png,1039o.png,1040o.png,RA Gent,Rijke Gasthuis,—,1293-05-02,
m1178,2,1,1178o.png|1179o.png,1178o.png,1179o.png,Rijksarchief Maastricht,Predikheren,—,1294-04-06,
m1180,2,1,1180o.png|1181o.png,1180o.png,1181o.png,Rijksarchief Maastricht,Predikheren,—,1294-04-04,
m1183,2,1,1183o.png|1184o.png,1183o.png,1184o.png,Schoonhoven,,—,1290-06-12,
m1192,2,1,1192o.png|1193o.png,1192o.png,1193o.png,Zieriksee,,—,1297-03-02,
m1196,2,1,1196o.png|1197o.png,1196o.png,1197o.png,Zieriksee,,—,1300-05-05,
m1217,2,1,1217o.png|1218o.png,1217o.png,1218o.png,Algemeen Rijksarchief Den Haag,Grafelijkheid,—,1292-02-06,
m1228,2,1,1228o.png|1229o.png,1228o.png,1229o.png,Algemeen Rijksarchief Den Haag,Zeeland,—,1291-03-05,
m1249,2,1,1249o.png|1250o.png,1249o.png,1250o.png,Algemeen Rijksarchief Den Haag,Grafelijkheid,—,1293-05-07,
m1256,2,1,1256o.png|1257o.png,1256o.png,1257o.png,Algemeen Rijksarchief Den Haag,Leeuwenhorst,—,1297-07-18,
m1275,2,1,1275o.png|1276o.png,1275o.png,1276o.png,Algemeen Rijksarchief Den Haag,Rijnsburg,—,1299-07-26,
m1279,2,0,1279o.png|1280o.png,1279o.png,1280o.png,Algemeen Rijksarchief Den Haag,Nassause Domeinraad II,1306 | 5,1299-06-16,
m1299,2,1,1299o.png|1300o.png,1299o.png,1300o.png,Algemeen Rijksarchief Den Haag,Henegouwen,—,1300-01-06,
m1301,2,1,1301o.png|1302o.png,1301o.png,1302o.png,Algemeen Rijksarchief Den Haag,Grafelijkheid,—,1299-12-23,
m1311,2,1,1311o.png|1312o.png,1311o.png,1312o.png,Algemeen Rijksarchief Den Haag,Grafelijkheid,—,1299-10-17,
m1341,2,1,1341o.png|1342o.png,1341o.png,1342o.png,Algemeen Rijksarchief Den Haag,Heusden,—,1290-05-31,
m1351,3,1,1351o.png|1352o.png|1353o.png,1351o.png,1352o.png|1353o.png,COO Brussel,Armen Sint-Goedele,—,1298-01-26,
