filename,inverted,p2,p98,span,mean,n_interior,applied
107o.png,0,70.0,254.0,184.0,207.8024432382096,1632260,1
108o.png,0,60.0,254.0,194.0,203.86587785496528,800360,1
109o.png,0,56.0,255.0,199.0,213.7098521593629,755408,1
110o.png,0,53.0,255.0,202.0,228.3528639880484,1601124,1
111o.png,0,67.0,254.0,187.0,223.80294498464397,1411824,1
112o.png,0,77.0,255.0,178.0,228.88757889546352,1419600,1
113o.png,0,48.0,255.0,207.0,217.83562287355247,1281480,1
114o.png,0,23.0,228.0,205.0,189.89006925412374,663354,1
115o.png,0,42.0,254.0,212.0,214.10486996541837,1944675,1
116o.png,0,66.0,254.0,188.0,217.74809559599746,2104858,1
117o.png,0,86.0,254.0,168.0,238.2718951617821,983916,1
121o.png,0,92.0,255.0,163.0,228.60854894386912,1531581,1
122o.png,0,8.0,245.0,237.0,205.1146826840271,3216510,1
124o.png,0,68.0,254.0,186.0,217.75564049389115,1327499,1
125o.png,0,65.0,254.0,189.0,224.5419607029196,1069596,1
126o.png,0,73.0,252.0,179.0,187.2474877101525,2379403,1
127o.png,0,58.0,254.0,196.0,216.53075980098126,1792193,1
128o.png,0,65.0,255.0,190.0,223.68469165103087,1661786,1
129o.png,0,86.0,250.0,164.0,195.59937566227174,1747772,1
130o.png,0,88.0,254.0,166.0,207.27380273660205,1319008,1
131o.png,0,93.0,226.0,133.0,178.9759347934907,1482306,1
132o.png,0,65.0,254.0,189.0,224.31800062048902,1024998,1
133o.png,0,57.0,254.0,197.0,218.11319056017922,2224788,1
135o.png,0,60.0,254.0,194.0,226.7464599138066,3258254,1
136o.png,0,3.0,239.0,236.0,201.32971949515021,950144,1
138o.png,0,80.0,255.0,175.0,223.36108385720885,2442056,1
140o.png,0,51.0,255.0,204.0,221.47468267174963,2168811,1
141o.png,0,64.0,254.0,190.0,226.95010705510705,1139600,1
142o.png,0,68.0,254.0,186.0,215.95082866469428,1890451,1
143o.png,0,73.0,254.0,181.0,219.72599205540646,2061276,1
144o.png,0,61.0,254.0,193.0,211.00455777956427,1467820,1
145o.png,0,84.0,254.0,170.0,213.93616745480702,1026044,1
146o.png,0,62.0,254.0,192.0,226.32135916162295,1621323,1
147o.png,0,47.0,255.0,208.0,213.75258488796763,810480,1
148o.png,0,70.0,254.0,184.0,214.63836990183475,1369120,1
149o.png,0,101.0,255.0,154.0,219.14224125624554,770550,1
150o.png,0,68.0,254.0,186.0,220.0604154755098,1715769,1
151o.png,0,168.0,252.0,84.0,200.0428837410695,692850,1
152o.png,0,64.0,255.0,191.0,220.41119434981113,1035576,1
153o.png,0,146.0,243.0,97.0,203.36151333068256,1707677,1
154o.png,0,54.0,255.0,201.0,218.20544913071475,1639968,1
155o.png,0,62.0,254.0,192.0,217.07958763246057,1720795,1
156o.png,0,45.0,253.0,208.0,195.32064319083236,2313528,1
157o.png,0,43.0,253.0,210.0,207.7685208200586,2377635,1
158o.png,0,75.0,255.0,180.0,221.4308918801563,575750,1
159o.png,0,37.0,255.0,218.0,208.08308500736294,1727568,1
160o.png,0,63.0,254.0,191.0,217.35849979937416,1373203,1
161o.png,0,105.0,214.0,109.0,153.83918121206563,1177692,1
