cluster_id,n,min_hamming,max_hamming,members,keep_if_same,drop_if_same,archief,fonds,signatuur,date
c117,4,6,35,117o.png|118o.png|119o.png|120o.png,117o.png,118o.png|119o.png|120o.png,Spermalie Brugge,,,1275-12-10
c239,2,6,6,239o.png|240o.png,239o.png,240o.png,Groot Seminarie Brugge,Ter Duinen,,1281-08-16
c1143,2,13,13,1143o.png|1144o.png,1143o.png,1144o.png,Groot Seminarie Brugge,Ter Duinen,,1293-09-07
c275,3,13,31,275o.png|276o.png|277o.png,275o.png,276o.png|277o.png,SA Gent,Stadscharters,,1282-10-17
c73,3,14,18,73o.png|74o.png|75o.png,73o.png,74o.png|75o.png,Sint-Janshospitaal Brugge,,,1271-01-23
c1370,2,16,16,1370o.png|1372o.png,1370o.png,1372o.png,Gemeentearchief Rotterdam,,,1297-07-09
c554,3,25,37,554o.png|555o.png|556o.png,554o.png,555o.png|556o.png,RA Gent,Rijke Klaren,,1288-06-23
